,genres,keywords,tagline,cast,director,title,release_date,index
18,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,They are back... in time.,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld,Men in Black 3,2012-05-23,18
19,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),Witness the defining chapter of the Middle-Earth saga,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,The Hobbit: The Battle of the Five Armies,2014-12-10,19
20,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,The untold story begins.,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb,The Amazing Spider-Man,2012-06-27,20
21,Action Adventure,robin hood archer knight sherwood forest bow and arrow,"Rise and rise again, until lambs become lions.",Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott,Robin Hood,2010-05-12,21
22,Adventure Fantasy,elves dwarves orcs hobbit dragon,Beyond darkness... beyond desolation... lies the greatest danger of all.,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,The Hobbit: The Desolation of Smaug,2013-12-11,22
23,Adventure Fantasy,england compass experiment lordship uncle,There are worlds beyond our own - the compass will show the way.,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz,The Golden Compass,2007-12-04,23
24,Adventure Drama Action,film business screenplay show business film making film producer,The eighth wonder of the world.,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson,King Kong,2005-12-14,24
25,Drama Romance Thriller,shipwreck iceberg ship panic titanic,Nothing on Earth could come between them.,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron,Titanic,1997-11-18,25
26,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Divided We Fall,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo,Captain America: Civil War,2016-04-27,26
27,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,The Battle for Earth Begins at Sea,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg,Battleship,2012-04-11,27
28,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,The park is open.,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow,Jurassic World,2015-06-09,28
29,Action Adventure Thriller,spy secret agent sociopath killer art gallery,Think on your sins.,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes,Skyfall,2012-10-25,29
30,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,There's a hero in all of us.,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi,Spider-Man 2,2004-06-25,30
31,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Unleash the power behind the armor.,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black,Iron Man 3,2013-04-18,31
32,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,You're invited to a very important date.,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton,Alice in Wonderland,2010-03-03,32
33,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,Take a Stand,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner,X-Men: The Last Stand,2006-05-24,33
34,Animation Family,monster dormitory games animation best friend,School never looked this scary.,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon,Monsters University,2013-06-20,34
35,Science Fiction Action Adventure,egypt sun chaos symbol artifact,Revenge is coming.,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay,Transformers: Revenge of the Fallen,2009-06-19,35
36,Science Fiction Action Adventure,sequel alien transformers giant robot robot,This is not war. It's extinction.,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay,Transformers: Age of Extinction,2014-06-25,36
37,Fantasy Adventure Family,circus witch magic hope illusion,"In Oz, nothing is what it seems",James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi,Oz: The Great and Powerful,2013-03-07,37
38,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,No more secrets.,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb,The Amazing Spider-Man 2,2014-04-16,38
39,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,The Game Has Changed.,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski,TRON: Legacy,2010-12-10,39
40,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Ka-ciao!,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter,Cars 2,2011-06-11,40
41,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,"In our darkest hour, there will be light.",Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell,Green Lantern,2011-06-16,41
42,Animation Family Comedy,hostage college toy barbie animation,No toy gets left behind.,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich,Toy Story 3,2010-06-16,42
43,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,The End Begins.,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG,Terminator Salvation,2009-05-20,43
44,Action,car race speed revenge suspense car,Vengeance Hits Home,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan,Furious 7,2015-04-01,44
45,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,Remember Philly!,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster,World War Z,2013-06-20,45
46,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,"To save the future, they must alter the past",Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer,X-Men: Days of Future Past,2014-05-15,46
47,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Earth Will Fall,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams,Star Trek Into Darkness,2013-05-05,47
48,Action Family Fantasy,based on fairy tale giant,Prepare for a giant adventure,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer,Jack the Giant Slayer,2013-02-27,48
49,Drama Romance,based on novel infidelity obsession hope 3d,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann,The Great Gatsby,2013-05-10,49
50,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Defy the Future,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell,Prince of Persia: The Sands of Time,2010-05-19,50
51,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,"To Fight Monsters, We Created Monsters",Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,Pacific Rim,2013-07-11,51
52,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,The invasion we always feared. An enemy we never expected.,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay,Transformers: Dark of the Moon,2011-06-28,52
53,Adventure Action,saving the world riddle whip treasure mexico city,The adventure continues . . .,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,53
54,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,Little Arms With Big Attitude,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn,The Good Dinosaur,2015-11-14,54
55,Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Change your fate.,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman,Brave,2012-06-21,55
56,Action Adventure Science Fiction,sequel stranded hatred space opera,,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin,Star Trek Beyond,2016-07-07,56
57,Animation Family,romantic comedy,An adventure beyond the ordinar-E.,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton,WALL·E,2008-06-22,57
58,Action Comedy Crime Thriller,ambassador,The Rush Is On!,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner,Rush Hour 3,2007-08-08,58
59,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,We Were Warned.,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich,2012,2009-10-10,59
60,Animation Drama,holiday based on novel victorian england money christmas eve,Season's Greedings,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis,A Christmas Carol,2009-11-04,60
61,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Expand your universe.,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski,Jupiter Ascending,2015-02-04,61
62,Action Adventure,africa feral child tarzan jungle animal attack,Human. Nature.,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates,The Legend of Tarzan,2016-06-29,62
63,Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,Evil Has Reigned For 100 Years...,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,63
64,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,Only the strong will survive,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer,X-Men: Apocalypse,2016-05-18,64
65,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,Why So Serious?,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan,The Dark Knight,2008-07-16,65
66,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter,Up,2009-05-13,66
67,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,"When aliens attack, monsters fight back.",Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon,Monsters vs Aliens,2009-03-19,67
68,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Heroes aren't born. They're built.,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau,Iron Man,2008-04-30,68
69,Adventure Drama Family,library clock film director key toy,One of the most legendary directors of our time takes you on an extraordinary adventure.,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese,Hugo,2011-11-22,69
70,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,It's a whole new west.,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld,Wild Wild West,1999-06-29,70
71,Adventure Action Fantasy,,A New Evil Awakens.,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen,The Mummy: Tomb of the Dragon Emperor,2008-07-01,71
72,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Worst Heroes Ever,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer,Suicide Squad,2016-08-02,72
73,Fantasy Comedy Family,father son relationship daily life married couple support father,A comedy of biblical proportions,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac,Evan Almighty,2007-06-09,73
74,Action Science Fiction,deja vu time warp restart dystopia war,"Live, Die, Repeat",Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman,Edge of Tomorrow,2014-05-27,74
75,Adventure Action,ocean tattoo mutant water dystopia,Beyond the horizon lies the secret to a new beginning.,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds,Waterworld,1995-07-28,75
76,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,"When all else fails, they don't.",Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers,G.I. Joe: The Rise of Cobra,2009-08-04,76
77,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Meet the little voices inside your head.,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,Inside Out,2015-06-09,77
78,Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau,The Jungle Book,2016-04-07,78
79,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,"It's not the armor that makes the hero, but the man inside.",Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau,Iron Man 2,2010-04-28,79
80,Adventure Fantasy Drama,queen magic fairy tale immortality forest,The Fairytale is Over,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders,Snow White and the Huntsman,2012-05-30,80
81,Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Don't believe the fairy tale.,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg,Maleficent,2014-05-28,81
82,Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,One last chance for peace.,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves,Dawn of the Planet of the Apes,2014-06-26,82
83,Action Adventure Science Fiction Romance,,Love is longer than life.,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9,The Lovers,2015-02-13,83
84,Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,For courage. For loyalty. For honor.,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch,47 Ronin,2013-12-06,84
85,Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,In heroes we trust.,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo,Captain America: The Winter Soldier,2014-03-20,85
86,Comedy Adventure Fantasy Animation Family,ogre 3d,It ain't Ogre... Til it's Ogre,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell,Shrek Forever After,2010-05-16,86
87,Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Imagine a world where nothing is impossible.,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird,Tomorrowland,2015-05-19,87
88,Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,From the creators of Wreck-it Ralph and Frozen,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams,Big Hero 6,2014-10-24,88
89,Family Animation Comedy Adventure,support group product placement bullying racing arcade,The story of a regular guy just looking for a little wreck-ognition.,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore,Wreck-It Ralph,2012-11-01,89
90,Adventure Animation Family Fantasy,santa claus nerd faith gift bell,This holiday season... believe.,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis,The Polar Express,2004-11-10,90
91,Action Adventure Science Fiction,alternate history alien invasion,We had twenty years to prepare. So did they.,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich,Independence Day: Resurgence,2016-06-22,91
92,Fantasy Adventure Animation Family,flying blacksmith arena island night,One adventure will change two worlds,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders,How to Train Your Dragon,2010-03-05,92
93,Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,The Machines Will Rise.,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow,Terminator 3: Rise of the Machines,2003-07-02,93
94,Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,All heroes start somewhere.,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn,Guardians of the Galaxy,2014-07-30,94
95,Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,Mankind was born on Earth. It was never meant to die here.,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan,Interstellar,2014-11-05,95
96,Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Your mind is the scene of the crime.,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan,Inception,2010-07-14,96
97,Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,A god incarnate. A city doomed.,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno,Shin Godzilla,2016-07-29,97
98,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),From the smallest beginnings come the greatest legends.,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson,The Hobbit: An Unexpected Journey,2012-11-26,98
99,Action Crime Thriller,street gang car race undercover auto-tuning los angeles,Live life 1/4 mile at a time.,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen,The Fast and the Furious,2001-06-22,99
100,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,"Life isn't measured in minutes, but in moments.",Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher,The Curious Case of Benjamin Button,2008-11-24,100
101,Action Science Fiction Adventure,cia mutant mine marvel comic superhero,Witness the moment that will change our world.,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn,X-Men: First Class,2011-05-24,101
102,Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,The fire will burn forever.,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,The Hunger Games: Mockingjay - Part 2,2015-11-18,102
103,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,It's The Coolest Job Ever.,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub,The Sorcerer's Apprentice,2010-07-13,103
104,Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,Mayday,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen,Poseidon,2006-05-12,104
105,Fantasy,based on novel clock queen sequel alice in wonderland,It's time for a little madness.,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin,Alice Through the Looking Glass,2016-05-25,105
106,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,Who's ready for Thirds?,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller,Shrek the Third,2007-05-17,106
107,Action Adventure Fantasy,video game elves orcs magic chase,Two worlds. One home.,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones,Warcraft,2016-05-25,107
108,Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,Reset the future,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor,Terminator Genisys,2015-06-23,108
109,Adventure Family Fantasy,based on novel magic good vs evil king narnia,Return to magic. Return to hope. Return to Narnia.,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,109
110,History Romance War,nurse patriotism hawaii world war ii pilot,It takes a moment to change history. It takes love to change lives.,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay,Pearl Harbor,2001-05-21,110
111,Adventure Science Fiction Action,destroy transformation alien based on toy transformers,Their war. Our world.,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay,Transformers,2007-06-27,111
112,War History Action Adventure Drama,aristotle egypt greece persia elephant,The greatest legend of all was real.,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone,Alexander,2004-11-21,112
113,Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,Evil Must Be Confronted.,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates,Harry Potter and the Order of the Phoenix,2007-06-28,113
114,Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,Dark And Difficult Times Lie Ahead.,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell,Harry Potter and the Goblet of Fire,2005-11-05,114
115,Fantasy Action,flying alcohol love of one's life forbidden love lovers,Bad Behavior. Bad Attitude. Real Hero.,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg,Hancock,2008-07-01,115
116,Drama Horror Action Thriller Science Fiction,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,The last man on Earth is not alone,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence,I Am Legend,2007-12-14,116
117,Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,Willy Wonka is semi-sweet and nuts.,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton,Charlie and the Chocolate Factory,2005-07-13,117
118,Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,He's dying to become a chef.,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava,Ratatouille,2007-06-22,118
119,Action Crime Drama,himalaya martial arts dc comics crime fighter secret identity,Evil fears the knight.,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan,Batman Begins,2005-06-10,119
120,Family Animation,africa jealousy dance hunger lion,Still together. Still lost!,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell,Madagascar: Escape 2 Africa,2008-10-30,120
121,Adventure Fantasy Action Comedy Family,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,When the lights go off the battle is on.,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy,Night at the Museum: Battle of the Smithsonian,2009-05-20,121
122,Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,Witness the Origin.,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood,X-Men Origins: Wolverine,2009-04-28,122
123,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine flying philosophy,Everything that has a beginning has an end.,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski,The Matrix Revolutions,2003-11-05,123
